person_id;loan_id;cb_id;idade;salario_anual;situacao_moradia;anos_trabalhados;motivo_emprestimo;pontuacao_emprestimo;valor_emprestimo;taxa_juros;inadimplencia;comprometimento_renda;historico_inadimplencia;tempo_credito
MZSefq9m-loYS;Mfn0Csx4-LGM3;QPDJUQfQ-DJqK;22,0;29000,0;Hipotecada;5.0;Pagamento_Debitos;B;9000,0;0.0;1,0;0.31;N;4
cRItaaPB-pRvT;Ks4nz74P-z6Iq;hzAXqSDh-ay7Q;31,0;19968,0;Alugada;1.0;Educativo;B;2500,0;9.62;1,0;0.13;N;6
Hbz9PtI3-tOFs;bFMFchcv-UwQW;PkBixMJ3-3bad;29,0;42000,0;Alugada;4.0;Empreendimento;G;1600,0;19.16;0,0;0.04;Y;6
iHar8HN7-1YkN;XqGa4BKn-WWe1;Sfj6mx0T-ixdS;21,0;45000,0;Alugada;3.0;Pessoal;A;7200,0;9.38;0,0;0.16;N;4
y4pEWYBn-9PvH;2ZiNj6wr-h4jF;6PQh0Hls-oRmz;22,0;72000,0;Propria;1.0;Empreendimento;B;15000,0;10.25;0,0;0.21;N;4
F22vJa3n-H3Fq;FtCLdtPv-7cq5;ZkOy47yx-6BEW;23,0;30000,0;Alugada;2.0;Medico;A;6400,0;0.0;0,0;0.21;N;3
t2CLBwpX-nu1u;lBEvYQ0q-Ej3C;5tHsILdx-PNcQ;24,0;81600,0;Alugada;5.0;Empreendimento;C;8000,0;12.84;0,0;0.1;Y;2
cFzLou13-ir4E;jmmOa1kn-UuzN;rBpycq3y-N0Zk;23,0;20000,0;Alugada;6.0;Pessoal;C;4000,0;12.23;0,0;0.2;Y;2
bYcJZ7cB-KHmQ;wUG9W3F2-wNUO;TraOHOpc-Lfs9;23,0;37460,0;Hipotecada;2.0;Educativo;C;7125,0;13.99;0,0;0.19;N;4
hTrxLBIi-7loA;HZxze8S1-yhAH;0nLNyfFC-IalR;38,0;40000,0;Alugada;19.0;Empreendimento;B;12000,0;10.59;0,0;0.3;N;11
